Date,Reason,Debit,Credit,Balance
2011-11-27,OpeningBalance,-,-,0
2011-11-27,BreakFast-ROOM,-,75,75
2011-11-27,ROMM-Gross,-,70,145
2011-11-27,Snaks,-,25,170
2011-11-27,Dinner,-,20,190
2011-11-28,BreakFast,-,25,215
2011-11-28,Dinner,-,30,245
2011-11-29,BreakFast,-,10,255
2011-11-30,BreakFast,-,20,275
2011-11-30,Dinner-ROOM,-,50,325
2011-12-01,BreakFast,-,15,340
2011-12-01,Snaks,-,40,380
2011-12-02,BreakFast,-,20,400
2011-12-03,BreakFast,-,50,450
2011-12-03,Shopping,-,440,890
2011-12-03,RoomRentPower,-,1500,2390
2011-12-03,ShashiGift,-,300,2690
2011-12-03,Dinner,-,200,2890
2011-12-04,AXE-Shuttle,-,160,3050
2011-12-05,BreakFast,-,30,3080
2011-12-06,BreakFast,-,20,3100
2011-12-07,Lunch,-,20,3120
2011-12-08,BreakFast,-,20,3140
2011-12-06,Dad,-,6500,9640
2011-12-08,ChinniRecharge,-,10,9650
2011-12-08,Snaks,-,60,9710
2011-12-09,BreakFast,-,20,9730
2011-12-09,IMAX-PussInBoots,-,250,9980
2011-12-09,Auto,-,30,10010
2011-12-10,Jurney,-,25,10035
2011-12-11,Return,-,20,10055
2011-12-11,Snaks,-,20,10075
2011-12-12,BreakFast,-,20,10095
2011-12-12,Snaks,-,35,10130
2011-12-13,BreakFast,-,30,10160
2011-12-15,BreakFast,-,10,10170
2011-12-15,DinnerSnaks,-,70,10240
2011-12-15,RoomShopping,-,50,10290
2011-12-15,Shopping,-,50,10340
2011-12-14,BreakFast,-,20,10360
2011-12-14,Snaks,-,10,10370
2011-12-17,Brunch,-,50,10420
2011-12-17,Dinner,-,50,10470
2011-12-17,ShoppingJourney,-,40,10510
2011-12-17,VirginRecharge,-,251,10761
2011-12-18,BreakFast,-,40,10801
2011-12-18,Trimmer,-,300,11101
2011-12-18,BusFair,-,30,11131
2011-12-18,SnaksDinner,-,60,11191
2011-12-18,BusFair,-,30,11221
2011-12-19,BreakFastX2,-,40,11261
2011-12-20,BreakFast,-,10,11271
2011-12-21,BreakFast,-,15,11286
2011-12-22,BreakFast,-,20,11306
2011-12-23,BreakFast,-,10,11316
2011-12-24,BreakFast,-,15,11331
2011-12-24,Garnier-Nani,-,135,11466
2011-12-24,Dinner,-,30,11496
2011-12-25,Dinner,-,60,11556
