sim_num_insn      63062
sim_num_refs      25976
sim_elapsed_time  1
sim_inst_rate     63062.0000
sim_num_branches  12172
sim_IPB           5.1809
lookups           12172
updates           12172
jr_seen           155
ras_rate.PP       0.9935
Mode\Attr         addr_hits   dir_hits  misses  bpred_addr_rate  bpred_dir_rate  retstack_pushes  retstack_pops  used_ras.PP  ras_hits.PP
taken             11941       11941     231     0.9810           0.9810          0                0              0            0
nottaken          659         659       11513   0.0541           0.0541          0                0              0            0
bimod_2           11849       11945     227     0.9735           0.9814          155              153            153          152
bimod_4           11844       11939     233     0.9731           0.9809          155              153            153          152
bimod_8           11854       11946     226     0.9739           0.9814          155              153            153          152
bimod_16          11855       11944     228     0.9740           0.9813          155              153            153          152
bimod_32          11861       11952     220     0.9744           0.9819          155              153            153          152
bimod_64          11870       11960     212     0.9752           0.9826          155              153            153          152
bimod_128         11877       11963     209     0.9758           0.9828          155              153            153          152
bimod_256         11877       11965     207     0.9758           0.9830          155              153            153          152
bimod_512         11880       11970     202     0.9760           0.9834          155              153            153          152
bimod_1024        11886       11974     198     0.9765           0.9837          155              153            153          152
bimod_2048        11893       11980     192     0.9771           0.9842          155              153            153          152
bimod_4096        11894       11981     191     0.9772           0.9843          155              153            153          152
2lev_1_4_1_0      11842       11941     231     0.9729           0.9810          155              153            153          152
2lev_1_8_2_0      11841       11928     244     0.9728           0.9800          155              153            153          152
2lev_1_16_3_0     11849       11935     237     0.9735           0.9805          155              153            153          152
2lev_1_32_4_0     11858       11943     229     0.9742           0.9812          155              153            153          152
2lev_1_64_5_0     11858       11939     233     0.9742           0.9809          155              153            153          152
2lev_1_128_6_0    11864       11953     219     0.9747           0.9820          155              153            153          152
2lev_1_256_7_0    11861       11949     223     0.9744           0.9817          155              153            153          152
2lev_1_512_8_0    11852       11935     237     0.9737           0.9805          155              153            153          152
2lev_2_8_1_0      11848       11942     230     0.9734           0.9811          155              153            153          152
2lev_2_16_2_0     11837       11935     237     0.9725           0.9805          155              153            153          152
2lev_2_32_3_0     11849       11948     224     0.9735           0.9816          155              153            153          152
2lev_2_64_4_0     11854       11948     224     0.9739           0.9816          155              153            153          152
2lev_2_128_5_0    11858       11946     226     0.9742           0.9814          155              153            153          152
2lev_2_256_6_0    11848       11936     236     0.9734           0.9806          155              153            153          152
2lev_2_512_7_0    11844       11932     240     0.9731           0.9803          155              153            153          152
2lev_2_1024_8_0   11845       11929     243     0.9731           0.9800          155              153            153          152
2lev_4_32_1_0     11871       11961     211     0.9753           0.9827          155              153            153          152
