sim_num_insn,128172
sim_num_refs,53639
sim_elapsed_time,1
sim_inst_rate,128172.0000
sim_num_branches,31740
sim_IPB,4.0382
lookups,31740
updates,31740
jr_seen,49
ras_rate.PP,0.9796
Mode\Attr,addr_hits,dir_hits,misses,bpred_addr_rate,bpred_dir_rate,retstack_pushes,retstack_pops,used_ras.PP,ras_hits.PP
taken,30617,30617,1123,0.9646,0.9646,0,0,0,0
nottaken,12238,12238,19502,0.3856,0.3856,0,0,0,0
bimod_2,30535,30624,1116,0.9620,0.9648,51,49,49,48
bimod_4,30524,30613,1127,0.9617,0.9645,51,49,49,48
bimod_8,31538,31623,117,0.9936,0.9963,51,49,49,48
bimod_16,31542,31628,112,0.9938,0.9965,51,49,49,48
bimod_32,31553,31639,101,0.9941,0.9968,51,49,49,48
bimod_64,31552,31637,103,0.9941,0.9968,51,49,49,48
bimod_128,31560,31644,96,0.9943,0.9970,51,49,49,48
bimod_256,31557,31640,100,0.9942,0.9968,51,49,49,48
bimod_512,31566,31651,89,0.9945,0.9972,51,49,49,48
bimod_1024,31571,31656,84,0.9947,0.9974,51,49,49,48
bimod_2048,31572,31654,86,0.9947,0.9973,51,49,49,48
bimod_4096,31572,31654,86,0.9947,0.9973,51,49,49,48
2lev_1_4_1_0,31525,31616,124,0.9932,0.9961,51,49,49,48
2lev_1_8_2_0,31524,31600,140,0.9932,0.9956,51,49,49,48
2lev_1_16_3_0,31534,31613,127,0.9935,0.9960,51,49,49,48
2lev_1_32_4_0,31540,31621,119,0.9937,0.9963,51,49,49,48
2lev_1_64_5_0,31542,31621,119,0.9938,0.9963,51,49,49,48
2lev_1_128_6_0,31540,31619,121,0.9937,0.9962,51,49,49,48
2lev_1_256_7_0,31535,31614,126,0.9935,0.9960,51,49,49,48
2lev_1_512_8_0,31530,31607,133,0.9934,0.9958,51,49,49,48
2lev_2_8_1_0,31532,31614,126,0.9934,0.9960,51,49,49,48
2lev_2_16_2_0,31533,31617,123,0.9935,0.9961,51,49,49,48
2lev_2_32_3_0,31546,31632,108,0.9939,0.9966,51,49,49,48
2lev_2_64_4_0,31548,31629,111,0.9940,0.9965,51,49,49,48
2lev_2_128_5_0,31541,31622,118,0.9937,0.9963,51,49,49,48
2lev_2_256_6_0,31538,31620,120,0.9936,0.9962,51,49,49,48
2lev_2_512_7_0,31530,31611,129,0.9934,0.9959,51,49,49,48
2lev_2_1024_8_0,31530,31610,130,0.9934,0.9959,51,49,49,48
2lev_4_32_1_0,31537,31614,126,0.9936,0.9960,51,49,49,48
2lev_4_64_2_0,31544,31624,116,0.9938,0.9963,51,49,49,48
2lev_4_128_3_0,31529,31605,135,0.9934,0.9957,51,49,49,48
2lev_4_256_4_0,31529,31609,131,0.9934,0.9959,51,49,49,48
2lev_4_512_5_0,31527,31608,132,0.9933,0.9958,51,49,49,48
2lev_4_1024_6_0,31530,31611,129,0.9934,0.9959,51,49,49,48
2lev_4_2048_7_0,31523,31603,137,0.9932,0.9957,51,49,49,48
2lev_4_4096_8_0,31523,31604,136,0.9932,0.9957,51,49,49,48
2lev_8_512_1_0,31557,31633,107,0.9942,0.9966,51,49,49,48
2lev_8_1024_2_0,31558,31635,105,0.9943,0.9967,51,49,49,48
2lev_8_2048_3_0,31549,31629,111,0.9940,0.9965,51,49,49,48
2lev_8_4096_4_0,31545,31626,114,0.9939,0.9964,51,49,49,48
2lev_8_8192_5_0,31542,31623,117,0.9938,0.9963,51,49,49,48
2lev_8_16384_6_0,31540,31621,119,0.9937,0.9963,51,49,49,48
2lev_8_32768_7_0,31541,31623,117,0.9937,0.9963,51,49,49,48
